liaison,service,nb_circules,nb_annulation,nb_retard,nb_retard_sup_60,taux_retard,retard_moyen,taux_sup_60,taux_annulation,cause_Externe,cause_Infrastructure,cause_Gestion trafic,cause_Matériel roulant,cause_Gestion gare,cause_Voyageurs
LYON PART DIEU → MONTPELLIER,NATIONAL,23057,1007,4824,687,20.922062714143213,35.265409240270294,2.979572364141042,4.18467420212766,20.164638255457653,22.082647357957878,23.49388429941895,17.472320523012627,7.455238115602038,9.331271448550876
LE MANS → PARIS MONTPARNASSE,NATIONAL,41681,1214,8531,764,20.467359228425423,24.77491300818542,1.832969458506274,2.8301666860939503,21.452334867979133,28.857373781893,20.822611850455687,13.945436817241704,6.031536309815135,8.890706372615345
PARIS EST → FRANCFORT,INTERNATIONAL,14662,578,2971,398,20.26326558450416,37.037710888195555,2.7145000682035194,3.7926509186351707,29.359002529272527,12.196000600907665,32.98177658596613,15.35572782010546,6.840912237195938,3.266580226552276
BARCELONA → PARIS LYON,INTERNATIONAL,5627,111,1139,279,20.241691842900302,45.75349112325724,4.958237071263551,1.9344719414430116,40.12607363960312,18.75159642370441,20.72657905643072,13.618909028105875,3.1244737062174845,3.6523681459383908
NIMES → PARIS LYON,NATIONAL,24039,957,4839,849,20.129789092724323,39.86418248280974,3.5317608885560965,3.8286125780124824,29.04673538944504,24.321564190910365,22.736694003856226,12.927084119429349,5.295037478007023,5.67288481835201
ANNECY → PARIS LYON,NATIONAL,13795,470,2759,310,20.0,35.224356651065605,2.247191011235955,3.2947774272695405,28.379266337582763,21.11896296368799,32.5678661380042,11.837157928290637,3.0895595905398934,3.00718704189452
VALENCE ALIXAN TGV → PARIS LYON,NATIONAL,34615,1000,6835,1100,19.745774953055033,38.638152275070965,3.1778130868120757,2.807805699845571,28.022291217665295,21.66809711616397,23.929237423347324,14.029447382058184,5.9155363166574775,6.43539054410774
MARSEILLE ST CHARLES → TOURCOING,NATIONAL,2437,76,464,111,19.03980303652031,46.90517241349353,4.554780467788264,3.0242737763629126,21.68642241399481,14.762931034623723,20.985991379062693,10.39870689671928,18.202227011209153,13.963721264390339
MARNE LA VALLEE → LYON PART DIEU,NATIONAL,34572,1257,6523,869,18.867869952562767,34.51023041274814,2.5135948166146016,3.5083312400569366,16.429452672291227,16.87012823398968,19.049315484823754,26.86862443269366,12.254084379593232,8.528394796608438
LILLE → MARSEILLE ST CHARLES,NATIONAL,20295,657,3781,794,18.630204483863018,44.37974563190139,3.912293668391229,3.1357388316151202,21.592241511388224,16.860633244777112,19.374779276063226,19.319008055556957,9.314441842637317,13.538896069577175
ST PIERRE DES CORPS → PARIS MONTPARNASSE,NATIONAL,44109,1420,8166,445,18.51322859280419,20.232140629481044,1.0088644040898682,3.1188912561224713,15.455546067832223,23.95567056065997,28.69199411114012,14.463718009519924,6.108338943585784,11.324732307261979
METZ → PARIS EST,NATIONAL,27744,743,5061,405,18.241782006920417,24.46790752681362,1.4597750865051904,2.608207252430933,15.893688055712751,15.177398422212937,35.75757182989496,14.980997528822323,11.012791968844725,7.17755219451229
MARNE LA VALLEE → MARSEILLE ST CHARLES,NATIONAL,25536,865,4639,992,18.166510025062657,45.91213878762498,3.8847117794486214,3.27639104579372,21.068674968554475,17.162042399313457,18.711581847753493,21.509815148884538,8.816972095883864,12.730913539610178
STUTTGART → PARIS EST,INTERNATIONAL,12307,368,2224,295,18.071016494677824,36.24191053446913,2.397009831803039,2.903353057199211,13.985273155582867,11.615171256200794,43.76491124390605,14.677018466156042,7.138218348535487,8.819407529618774
FRANCFORT → PARIS EST,INTERNATIONAL,14355,625,2578,349,17.958899338209683,38.9025539541421,2.43120863810519,4.172229639519359,16.085864980519492,13.721544313961925,46.13304979032486,14.770723903234387,4.761307009402475,4.52751000255685
PARIS LYON → CHAMBERY CHALLES LES EAUX,NATIONAL,21003,625,3756,507,17.88315954863591,35.19691411391464,2.41394086559063,2.889772517107453,15.803413369609318,22.086557304945213,27.361813067825487,26.332094604964627,5.262686882557386,3.153434770097969
POITIERS → PARIS MONTPARNASSE,NATIONAL,41851,1500,7451,529,17.803636711189696,23.891428488783042,1.2640080284819957,3.460127794053194,17.87731426268922,30.63141908384691,22.103808612810045,14.358702273635732,4.59409441943316,10.434661347584932
MARSEILLE ST CHARLES → MARNE LA VALLEE,NATIONAL,25530,918,4496,845,17.610654132393265,43.34256344141555,3.309831570701136,3.470961887477314,21.01949170188668,17.50340392752789,23.3350334745308,16.23006995825483,11.830877984689831,10.081122953109956
PARIS LYON → ITALIE,INTERNATIONAL,6678,234,1172,284,17.550164719976042,50.33847411912969,4.252770290506139,3.3854166666666665,18.945386816247826,18.618885366759415,21.587141428994244,34.19402949308797,4.191837038832373,2.4627198560781816
